ID	year of publication	Title	Author	Published in	Country 	Main method	Extracted from	Environment
1	2009	A manual of ACAROLOGY (3ra ed.)	Krantz, G. W. - Walter, D. E.	Texas Tech University Press		review	pp. 65(comunicación personal), 66, 67, 105, 126, 127, 132, 135 (comunicación personal. afirmación autor), 139 (afirmación), 144 (afirmación), 145, 146, 150, 152, 153, 233 (no publicado), 235 (afirmación), 236 (observación personal), 237, 242, 252 (review), 253 (review), 279, 439, 442, 445 (no publicado), 446, 447 (no publicado), 449, 450, 451, 452, 455, 458, 461, 467, 469, 470, 471, 472	
2	1997	Mesostigmata ( Gamasina , Uropodina ), efficient predators in agroecosystems.	Koehler, Hartmut H.	Agriculture, Ecosystems, and Environment. 62: 105-117.		review	pág 109. Table 2. "Feeding preferences and habitats of typical Gamasina from agricultural soil" 	
4	1993	Feeding guilds of oribatid mites based on their carbohydrase activities.	Siepel H. - Dijkman E. M.	Soil Biology and Biochemistry 25(11): 1491-1497		digestive enzimes	Table 1. pp. 1494. (we consider soil-associated organisms), pp. 1492 - 1493	Forest
5	2004	Feeding guilds in Collembola based on digestive enzymes.	Berg, M. P. - Stoffer, Mirjam - van den Heuvel, Harry  H.	Pedobiologia 48(5/6): 589-601		digestive enzimes	Table 1 pp 593; and in the assignment of guilds in the results pp 594	Grassland
6	2005	Feeding guilds in Collembola based on nitrogen stable isotope ratios.	Chahartaghi, M. - Langel, R. - Scheu, S. - Ruess, L.	Soil Biology and Biochemistry 37 (9): 1718-1725	Germany	stable isotope signature	Description of trophic guilds in the discussion pp. 1722 - 1723	Forest
7	2014	Nematode consumption by mite communities varies in different forest microhabitats as indicated by molecular gut content analysis	Heidemann, K. - Ruess, L. - Scheu, S. - Maraun, M.	Experimental and Applied Acarology 64: 49-60	Germany	molecular analysis of intestinal contents	of the discussion pp. 55 - 56.	Forest
8	2000	Feeding of Scheloribates laevigatus on different stadia of decomposing grass litter.	Hubert, J. - Kubátobá, A. - Šárová, J.	Pedobiologia 44(5): 627 - 639	Czech Republic	food preferred laboratory test more gut content	of the discussion pp. 636 - 637 	Praire
9	1990	Chap 21. Acarina: Prostigmata (Actinedida).   	Kethley, J.	In. Soil Biology Guide. Dindal	United States	review	pág 679. Table 21.1. Feeding pattern-macrohabitat relations among prostigmatid mites likely to be found or encountered in the soil community	
10	2016	Stable isotope composition of mycophagus collembolans versus mycotrophic plant: Do soil invertebrates feed on mycorrhizal fungi?	Potapov, A. M. - Tiunov, A. V.	Soil Biology and Biochemistry 93: 115-118	Russia	stable isotope signature	in table 1.	Forest
16	1970	Collembola predation on nematodes.	Gilmore, S. K.	Search, Agric. 1 (3): 1 - 12	United States	laboratory assay	abstract	Laboratory
