ID;CLASE;SUBCLASE;SUPERORDER;ORDER;SUBORDER;SUPERCOHORT;COHORT;SUBCOHORT;SUPERFAMILY;FAMILY;GENERA;SPECIE;G_SP;RESOURCE;METHOD;TAXONOMIC_LEVEL;ID_ESM_I
1;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;Dermanyssiae;Ascoidea;Ameroseiidae;Ameroseius;sp.;Ameroseius sp.;sap. fun.;obs.;GENERA;1
2;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;Dermanyssiae;Ascoidea;Ameroseiidae;Ameroseius;sp.;Ameroseius sp.;myco.;obs.;GENERA;1
3;Arachnida;Acari;Parasitiformes;Opilioacarida;;;;;Opilioacaroidea;Opilioacaridae;;;OPILIOACARIDAE;carrion;obs.;FAMILY;1
4;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Uropodina;Uropodiae;Polyaspidoidea;Dythinnozerconidae;Caminella;peraphora;Caminella peraphora;m.fau;assay;SPECIE;1
5;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Uropodina;Uropodiae;Polyaspidoidea;Dythinnozerconidae;Polyaspis;sp.;Polyaspis sp.;coll.;obs.;GENERA;1
6;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Uropodina;Uropodiae;Polyaspidoidea;Dythinnozerconidae;Polyaspis;sp.;Polyaspis sp.;m.fau;obs.;GENERA;1
7;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Uropodina;Uropodiae;Uropodoidea;Dinychidae;Dinychus;perforatus;Dinychus perforatus;bac.;assay;SPECIE;1
8;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;;Epicrioidea;Epicridae;;;EPICRIDAE;sap. fun.;mouth;FAMILY;1
9;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;;Epicrioidea;Epicridae;;;EPICRIDAE;myco.;mouth;FAMILY;1
10;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;;Rhodacaroidea;Digamasellidae;;;DIGAMASELLIDAE;coll.;obs.;FAMILY;1
11;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;;Rhodacaroidea;Digamasellidae;;;DIGAMASELLIDAE;mites;obs.;FAMILY;1
12;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;;Rhodacaroidea;Digamasellidae;;;DIGAMASELLIDAE;m.fau;obs.;FAMILY;1
13;Arachnida;Acari;Acariformes;Trombidiformes;Sphaerolichida;;;;;Sphaerolichidae;Sphaerolichus;sp.;Sphaerolichos sp.;m.fau;obs.;GENERA;1
14;Arachnida;Acari;Acariformes;Trombidiformes;Sphaerolichida;;;;;Sphaerolichidae;Sphaerolichus;sp.;Sphaerolichos sp.;coll.;obs.;GENERA;1
15;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Labidostomatides;;;Labidostomatoidea;Labidostomidae;;;LABIDOSTOMIDAE ;coll.;obs.;FAMILY;1
16;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Labidostomatides;;;Labidostomatoidea;Labidostomidae;;;LABIDOSTOMIDAE ;mites;obs.;FAMILY;1
17;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Labidostomatides;;;Labidostomatoidea;Labidostomidae;Nicotiella;pacifica;Nicotiella pacifia;coll.;obs.;SPECIE;1
18;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Anystides;Anystina;;Adamystoidea;Adamystidae;;;ADAMYSTIDAE;m.fau;obs.;FAMILY;1
19;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Anystides;Anystina;;Adamystoidea;Adamystidae;;;ADAMYSTIDAE;coll.;obs.;FAMILY;1
